Location,Case Number,Case Name,Court,Judicial Officer,Date Filed,Case Type,Case Status,Plaintiff,Petitioner,Defendent,Serve Date,Compensation,Pro Se Filer,Mean
0260-01.html,"(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(0.3308311998844147, 0.20515978336334229, 0.2532626986503601)","(0.5818955898284912, 0.42377275228500366, 0.4904031753540039)","(0.5160217881202698, 0.5294724106788635, 0.5226605534553528)","(0.2166309952735901, 0.6164926290512085, 0.3206040859222412)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","['avg', 0.8188756704330444, 0.8288384675979614, 0.8143794536590576]"
0267-01.html,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.49445363879203796, 0.49222591519355774, 0.4933372735977173)","(0.592247724533081, 0.49858301877975464, 0.541394054889679)","(0.7693561315536499, 0.0, 0.0)","(0.0, 0.0, 0.0)","['avg', 0.14277365803718567, 0.07621607184410095, 0.07959472388029099]"
0272-01.html,"(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(0.5151405334472656, 0.7415122389793396, 0.607937216758728)","(0.5381335616111755, 0.6190990209579468, 0.5757839679718018)","(0.6009628772735596, 0.5464236736297607, 0.5723970532417297)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","['avg', 0.8964799642562866, 0.9159259796142578, 0.9043169617652893]"
0279-01.html,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.2784353792667389, 0.0)","(0.6811815500259399, 0.5787853598594666, 0.6258226633071899)","(0.1952744424343109, 0.0, 0.0)","(0.0, 0.0, 0.0)","['avg', 0.06741969287395477, 0.06594005972146988, 0.048140205442905426]"
0281-01.html,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.381499707698822, 0.0, 0.0)","(0.39908239245414734, 0.0, 0.0)","(0.6878206729888916, 0.4056834578514099, 0.5103546380996704)","(0.0, 0.0, 0.0)","['avg', 0.11295405775308609, 0.031206419691443443, 0.03925804793834686]"
0284-01.html,"(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(0.6869933009147644, 0.33249175548553467, 0.44810783863067627)","(0.5693802237510681, 0.239044189453125, 0.3367217183113098)","(0.4050391614437103, 0.15476149320602417, 0.22395282983779907)","(0.4251481890678406, 0.7530234456062317, 0.5434633493423462)","(0.13593704998493195, 0.2589123547077179, 0.17827445268630981)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","['avg', 0.7863461971282959, 0.7490950226783752, 0.7485018372535706]"
0291-01.html,"(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(0.3709633946418762, 0.28375691175460815, 0.3215523362159729)","(0.553337574005127, 0.4685506522655487, 0.5074266791343689)","(0.5865911245346069, 0.47491103410720825, 0.5248761773109436)","(0.22830025851726532, 0.6164926290512085, 0.3332069516181946)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","['avg', 0.8260918855667114, 0.8341318368911743, 0.822081983089447]"
0298-01.html,"(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(0.5888535976409912, 0.4195837378501892, 0.49001237750053406)","(0.37096336483955383, 0.2811373174190521, 0.3198636472225189)","(0.5285511016845703, 0.5144391655921936, 0.5213996767997742)","(0.3990824818611145, 0.6714688539505005, 0.5006232261657715)","(0.7693561315536499, 0.7693561315536499, 0.7693561315536499)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","['avg', 0.8197545409202576, 0.8196913003921509, 0.8154813051223755]"
0302-01.html,"(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(0.5888535380363464, 0.43701741099357605, 0.5016990900039673)","(0.6139529943466187, 0.48484402894973755, 0.541813313961029)","(0.6651917099952698, 0.6498948335647583, 0.657454252243042)","(0.3050692081451416, 0.6272871494293213, 0.4104996621608734)","(0.8278370499610901, 0.8278370499610901, 0.8278370499610901)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","['avg', 0.8462235927581787, 0.8482218384742737, 0.8414850831031799]"
0324-01.html,"(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(0.7818202376365662, 0.3482723832130432, 0.48188331723213196)","(0.7038900852203369, 0.5835491418838501, 0.6380952596664429)","(0.1952744871377945, 0.25869300961494446, 0.22255399823188782)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","['avg', 0.8985375165939331, 0.8608090281486511, 0.8725026845932007]"
