Case Name,Case Number,Court,Judicial Officer,Date Filed,Case Type,Case Status,Plaintiff,Petitioner,Defendent,Compensation,Date Served,Path,Citations,Chronology
"Lisa McCOY, Petitioner, v. Kevin ROBERTS, Warden, Metro State Prison, Respondent 8566269609849808004",cv 306-101,"District Court, S.D. Georgia",Dudley H. Bowen,"{'argued': '2008-05-16', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/2580804/mccoy-v-roberts/,"['559 F. Supp. 2d 1326', '2008 U.S. Dist. LEXIS 39813', '2008 WL 2097149']",
"Mrs. E. Claire KNOX and Katherine Carroll as Administratrix of the Estate of Lucinda Knox, Plaintiffs, v. Nathaniel HAYES, Roland’s Bonded Warehouse, Inc., Providence Washington Insurance Co., and Continental Casualty Co., Defendants 5667229581602160690",civil action 494-147,"District Court, S.D. Georgia",Edenfield,"{'argued': '1995-04-24', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/1742109/knox-v-hayes/,"['933 F. Supp. 1573', '1995 U.S. Dist. LEXIS 21290', '1995 WL 874979']",
"Johnny TRUITT, Petitioner, v. Thomas JONES, Et Al., Respondents 1342534586695878967",civ. a. 181-11,"District Court, S.D. Georgia",Bowen,"{'argued': '1985-06-11', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/2141431/truitt-v-jones/,"['614 F. Supp. 1342', '1985 U.S. Dist. LEXIS 19013']",
"James Patrick DENSMORE, Petitioner, v. UNITED STATES of America, Respondent 7808948639798410701",cv407-146,"District Court, S.D. Georgia","Moore, Smith","{'argued': '2008-02-25', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/2464253/densmore-v-united-states/,"['543 F. Supp. 2d 1359', '2008 U.S. Dist. LEXIS 14269', '2008 WL 516189']",
"John Thomas ANGLIN, Jr., Petitioner, v. Calvin E. GREEN, Warden, and Michael J. Bowers, Attorney General, Respondents 4638572038572893801",civ. a. cv485-120,"District Court, S.D. Georgia",Bowen,"{'argued': '1986-06-27', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/1746027/anglin-v-green/,"['639 F. Supp. 490', '1986 U.S. Dist. LEXIS 23503']",
"Davida JOHNSON Pam Burke Henry Zittrouer George Deloach and George Seaton v. Zell MILLER, and Lucious Abrams, Jr., Intervenors-Defendants, and United States of America, Intervenor-Defendant 1501384347824903901", 194-008,"District Court, S.D. Georgia","Bowen, Edenfield, Edmondson","{'argued': '1994-09-12', 'reargued': None}",civ. a. ,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/8726915/johnson-v-miller/,"['864 F. Supp. 1354', '1994 U.S. Dist. LEXIS 13043', '1994 WL 506780']",
"Frank B. HUBBY, M.D., Plaintiff, v. HISTORIC SAVANNAH FOUNDATION, INC.; Georgia Endowment for the Humanities, Inc.; Georgia Semiquincentenary Commission, Defendants 2303047231094578774",civ. a. 483-066,"District Court, S.D. Georgia",Alaimo,"{'argued': '1985-01-17', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/1514212/hubby-v-historic-savannah-foundation-inc/,"['623 F. Supp. 637', '1985 U.S. Dist. LEXIS 23327']",
Eugene FRENCH v. Alan CARTER 2221446555772350123, cv410-141,"District Court, S.D. Georgia",Smith,"{'argued': '2012-02-15', 'reargued': None}",case ,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/8711035/french-v-carter/,"['828 F. Supp. 2d 1309', '2012 WL 515255', '2012 U.S. Dist. LEXIS 19117']",
"Jeannette STEVENS v. SOUTHERN NUCLEAR OPERATING COMPANY, INC. 4133373287823244434",cv 114-240,"District Court, S.D. Georgia","Georgia, Hall, Southern","{'argued': '2016-08-30', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/7321968/stevens-v-southern-nuclear-operating-co/,"['209 F. Supp. 3d 1372', '2016 U.S. Dist. LEXIS 116376', '2016 WL 4535662']",
"Angela F. DOXIE and All Other Persons Similarly Situated, Plaintiffs, v. FORD MOTOR CREDIT COMPANY, Defendant 5131970430070246936",civ. a. cv184-36,"District Court, S.D. Georgia",Bowen,"{'argued': '1984-10-18', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/1888942/doxie-v-ford-motor-credit-co/,['603 F. Supp. 624'],
"ST. JOSEPH’S HOSPITAL, INC., Plaintiff, v. HOSPITAL AUTHORITY OF AMERICA, HCA Management Company, and Chatham County Hospital Authority, D/B/A Memorial Medical Center, Defendants 4190121580144048466",cv484-271,"District Court, S.D. Georgia",Edenfield,"{'argued': '1985-07-18', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/1456402/st-josephs-hospital-inc-v-hospital-authority-of-america/,"['620 F. Supp. 814', '1985 U.S. Dist. LEXIS 17723']",
"Deborah LEE v. Harold Paul CHRISTIAN, individually and in his official capacity as County Manager of Pierce County. Georgia Carl Boyette Tommy Lowman Tom Davis and Matthew Carter 3570063227867418223", cv 214-97,"District Court, S.D. Georgia",Wood,"{'argued': '2015-03-30', 'reargued': None}",,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/7313017/lee-v-christian/,"['98 F. Supp. 3d 1265', '2015 U.S. Dist. LEXIS 40482', '126 Fair Empl. Prac. Cas. (BNA) 1262', '2015 WL 1505973']",
"FEDERAL DEPOSIT INSURANCE CORPORATION, Plaintiff, v. Lynwood G. WILLIS, Robert H. Still, Jr., Richard J. Veenstra, and Roger R. Rowell, Defendants 6927878740864599407",civ. a. 179-63,"District Court, S.D. Georgia",Bowen,"{'argued': '1980-08-11', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/1613997/federal-deposit-ins-corp-v-willis/,"['497 F. Supp. 272', '1980 U.S. Dist. LEXIS 17238']",
"Jennifer KEETON, Plaintiff, v. Mary Jane ANDERSON-WILEY, Et Al., Defendants 2197964546255381816",cv 110-099,"District Court, S.D. Georgia",J. Randal Hall,"{'argued': '2010-08-20', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/2469448/keeton-v-anderson-wiley/,"['733 F. Supp. 2d 1368', '2010 U.S. Dist. LEXIS 85959', '2010 WL 3321873']",
"SP FREDERICA, LLC Peach Consolidated Properties, LLC and Flash Foods, Inc. v. GLYNN COUNTY Glynn County Board of Commissioners Michael Browning Dale Provenzano Richard Strickland Bill Brunson Allen Booker Mark Stambaugh Bob Coleman Glynn County Islands Planning Commission Preston Kirkendall Robert Ussery Desiree Watson Joel Willis William Lawrence Stan Humphries Karen Ward The Glynn County Board of Appeals Walter Rafolski Peter Schoenauer Paul Fisher Matthew Permar and Philip Viviani 2727768734815091775",cv 215-73,"District Court, S.D. Georgia","Georgia, Southern, Wood","{'argued': '2016-03-25', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/7319367/sp-frederica-llc-v-glynn-county/,"['173 F. Supp. 3d 1362', '2016 WL 1248931', '2016 U.S. Dist. LEXIS 39307']",
"Maxi J. GORDON, Plaintiff, v. MCG HEALTH, INC., Defendant 2979218466655358395",cv 102-111,"District Court, S.D. Georgia",Bowen,"{'argued': '2003-12-15', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/2511398/gordon-v-mcg-health-inc/,"['301 F. Supp. 2d 1333', '2003 U.S. Dist. LEXIS 23820', '2003 WL 23200391']",
"William L. SCHNORBACH v. J. B. FUQUA, Individually, and Fuqua Television, Inc., a corporation, and Larry Bennett, Intervenors 4568024066137973904", 175-11,"District Court, S.D. Georgia",Alaimo,"{'argued': '1975-10-07', 'reargued': None}",civ. a. ,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/8805441/schnorbach-v-fuqua/,"['70 F.R.D. 424', '21 Fed. R. Serv. 2d 924', '1975 U.S. Dist. LEXIS 15836']",
"Jana KEELE, individually and as administrator of the estate of Kara Thompson v. GLYNN COUNTY, GEORGIA, Wayne V. Bennett, individually and in his official capacity, Jeffrey Gunderson, individually and in his official capacity, John Orr, individually and in his official capacity, Jessica Carnette, individually and in her official capacity, Gary Hollingsworth, individually and in his official capacity, Helen Brown, individually and in her official capacity 2684269135536194683", cv 211-074,"District Court, S.D. Georgia",Wood,"{'argued': '2013-03-29', 'reargued': None}",,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/8724505/keele-v-glynn-county/,"['938 F. Supp. 2d 1270', '2013 U.S. Dist. LEXIS 49509', '2013 WL 1390389']",
"In Re FRIEDMAN’S INC., Et. Al., Debtors. Alan Cohen, as Trustee of the Friedman’s Creditor Trust, Plaintiff, v. Morgan Schiff & Co., Inc., Phillip E. Cohen, Sterling Brinkley, Bradley J. Stinn, Victor M. Suglia, and Alston & Bird LLP, Defendants 4098253299510442022",407cv041,"District Court, S.D. Georgia",B. Avant Edenfield,"{'argued': '2008-01-10', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/1844802/cohen-v-morgan-schiff-co-in-re-friedmans-inc/,"['385 B.R. 381', '2008 U.S. Dist. LEXIS 2145', '2008 WL 131163']",
"William “Billy” MITCHELL, Petitioner, v. Joe S. HOPPER, Warden, Georgia State Prison, Respondent; Willie X. ROSS, Petitioner, v. Joe S. HOPPER, Warden, Georgia State Prison, Respondent; James Lee SPENCER, Petitioner, v. Walter D. ZANT, Warden, Georgia Diagnostic & Classification Center, Respondent 2238225887027779521","civ. a. cv478-132, cv478-162 and cv179-247","District Court, S.D. Georgia",Bowen,"{'argued': '1982-04-01', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/2296055/mitchell-v-hopper/,['538 F. Supp. 77'],
"Gabrielle BREDA, Plaintiff, v. WOLF CAMERA, INC. Defendants 8825233854136345572",4:97cv366,"District Court, S.D. Georgia",Edenfield,"{'argued': '2001-06-25', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/2567841/breda-v-wolf-camera-inc/,"['148 F. Supp. 2d 1371', '2001 U.S. Dist. LEXIS 9328', '2001 WL 789291']",
In re BURKE 240586756731195391,,"District Court, S.D. Georgia",Speer,"{'argued': '1909-03-25', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/8786632/in-re-burke/,"['168 F. 994', '1909 U.S. Dist. LEXIS 376']",
"Johnny BRANTLEY and Robert M. Pou v. FERRELL ELECTRIC, INC. and James N. Ferrell 3717932056668647882", cv 114-022,"District Court, S.D. Georgia",Hall,"{'argued': '2015-05-29', 'reargued': None}",,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/7314216/brantley-v-ferrell-electric-inc/,"['112 F. Supp. 3d 1348', '2015 U.S. Dist. LEXIS 69865', '2015 WL 3541552']",
"CONTINENTAL CASUALTY COMPANY, Plaintiff, v. SYNALLOY CORPORATION, General Accident Fire and Life Assurance Corporation, Ltd., Midland Insurance Company, Fireman’s Fund Insurance Company, Stonewall Insurance Company, Certain Underwriters at Lloyd’s and All Other Underwriters Subscribing to a Policy of Insurance No. Lorn 9081, Certain Underwriters at Lloyd’s and All Other Underwriters Subscribing to a Policy of Insurance No. Lorn 9080, Certain Underwriters at Lloyd’s and All Other Underwriters Subscribing to a Policy of Insurance No. Lorn 9520, First State Insurance Company, Lexington Insurance Company, American Mutual Liability Insurance Company, Appalachian Insurance Company, Affiliated F.M. Insurance Company, Fred Brown, Jr., Willie Hall, Alex Oliphant, Otis Powell, Joe Roberts, James Sturgis, Roger Utley, and Robert White, Defendants; SYNALLOY CORPORATION, Third-Party Plaintiff, v. COLUMBIA CASUALTY COMPANY and Continental Insurance Company, Third-Party Defendants 3241944625184836761",cv182-158,"District Court, S.D. Georgia",Edenfield,"{'argued': '1983-09-28', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/2158295/continental-casualty-co-v-synalloy-corp/,"['667 F. Supp. 1523', '1983 U.S. Dist. LEXIS 13299']",
"Betty SOWERS, Plaintiff, v. KEMIRA, INC., Defendant 6441476947643383584",cv487-170,"District Court, S.D. Georgia",Edenfield,"{'argued': '1988-02-17', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/1474289/sowers-v-kemira-inc/,"['701 F. Supp. 809', '1988 U.S. Dist. LEXIS 1331', '46 Fair Empl. Prac. Cas. (BNA) 1825', '1988 WL 128707']",
JENNINGS v. SMITH 2071192030365209926,,"District Court, S.D. Georgia",Speer,"{'argued': '1916-04-28', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/8814951/jennings-v-smith/,"['232 F. 921', '1916 U.S. Dist. LEXIS 1703']",
"Joseph James BLAKE, Petitioner, v. Walter ZANT, Warden, Georgia Diagnostic and Classification Center, Respondent; Christopher A. BURGER, Petitioner, v. Walter B. ZANT, Warden, Georgia Diagnostic and Classification Center, Respondent; William Neal MOORE, Petitioner, v. Charles BALKCOM, Warden, Respondent 2455151208370750585","cv480-251, cv280-114 and cv478-309","District Court, S.D. Georgia",B. Avant Edenfield,"{'argued': '1981-04-29', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/1612838/blake-v-zant/,"['513 F. Supp. 772', '1981 U.S. Dist. LEXIS 13559']",
"Angela Dianna THOMPSON and Albert Thompson, Plaintiffs, v. Roger QUARLES and Werner Enterprises, Inc., Defendants 8215918970342818003",civil action cv107-149,"District Court, S.D. Georgia",Anthony A. Alaimo,"{'argued': '2008-07-16', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/1897646/thompson-v-quarles/,"['392 B.R. 517', '2008 U.S. Dist. LEXIS 74903', '2008 WL 2794799']",
In re CENTRAL OF GEORGIA RY. CO. 3419633422931122621, 4829,"District Court, S.D. Georgia",Lovett,"{'argued': '1942-12-23', 'reargued': None}",,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/8881381/in-re-central-of-georgia-ry-co/,"['48 F. Supp. 445', '1942 U.S. Dist. LEXIS 2078']",
